Исходный текст,Распознанный текст,Предсказанная группа,Индекс группы,Уверенность (%),Результат,Русских букв,Латинских букв,Цифр
Глюкоза_0,Глю коза,глюкоза,-,93.33,🟠 Частичное совпадение,7,0,0
Глюкоза_1,Глюкозa,глюкоза,-,100.00,✔️ Полное совпадение,6,1,0
Глюкоза_3,Глю kоза,глюкоза,-,93.33,🟠 Частичное совпадение,6,1,0
Глюкоза_4,Глю коз,глюкоза,-,85.71,🟠 Частичное совпадение,6,0,0
Глюкоза сывороточная_0,Глюоза сывороточна,глюкоза,-,94.74,🟠 Частичное совпадение,17,0,0
Глюкоза сывороточная_1,юкоза сывороточная,глюкоза,-,94.74,🟠 Частичное совпадение,17,0,0
Глюкоза сывороточная_2,Глюкоза сывороточн ая,глюкоза,-,97.56,🟠 Частичное совпадение,19,0,0
Глюкоза сывороточная_3,Глюкоза сыворо точнАя,глюкоза,-,97.56,🟠 Частичное совпадение,19,0,0
Глюкоза сывороточная_4,Глюкозa сывороточная,глюкоза,-,100.00,✔️ Полное совпадение,18,1,0
Глюкоза сывороточная_5,ГлюкозА сывороточная,глюкоза,-,100.00,✔️ Полное совпадение,19,0,0
Глюкоза сывороточная_7,Глюкоза сывороточн,глюкоза,-,94.74,🟠 Частичное совпадение,17,0,0
Сахар_0,Сахаp,глюкоза,-,100.00,✔️ Полное совпадение,4,1,0
Сахар в крови_0,Саxар в крОви,глюкоза,-,100.00,✔️ Полное совпадение,10,1,0
Сахар в крови_1,Сахар в к рови,глюкоза,-,96.30,🟠 Частичное совпадение,11,0,0
Сахар в крови_2,Сахар  в кроВи,глюкоза,-,100.00,✔️ Полное совпадение,11,0,0
Сахар в крови_3,ахар в крови,глюкоза,-,96.00,🟠 Частичное совпадение,10,0,0
Сахар в крови_4,Сахар в крои,глюкоза,-,96.00,🟠 Частичное совпадение,10,0,0
Сахар в крови_6,Саар в крови,глюкоза,-,96.00,🟠 Частичное совпадение,10,0,0
Сахар в крови_7,Сахар в кровИ,глюкоза,-,100.00,✔️ Полное совпадение,11,0,0
Декстроза_0,ДeкстрозА,глюкоза,-,100.00,✔️ Полное совпадение,8,1,0
Декстроза_1,Декс троз,глюкоза,-,88.89,🟠 Частичное совпадение,8,0,0
Декстроза_2,Декстр оза,глюкоза,-,94.74,🟠 Частичное совпадение,9,0,0
Декстроза_3,Дек строза,глюкоза,-,94.74,🟠 Частичное совпадение,9,0,0
Декстроза_5,Де кстроза,глюкоза,-,94.74,🟠 Частичное совпадение,9,0,0
Глюкоза плазмы_1,люоза плазмы,глюкоза,-,92.31,🟠 Частичное совпадение,11,0,0
Глюкоза плазмы_2,Глюкоза пл,глюкоза,-,83.33,🟠 Частичное совпадение,9,0,0
Глюкоза плазмы_3,Глюкоа плазмы,глюкоза,-,96.30,🟠 Частичное совпадение,12,0,0
Глюкоза плазмы_4,Глюкоза  плазмы,глюкоза,-,100.00,✔️ Полное совпадение,13,0,0
Глюкоза плазмы_5,Глюкз плазмы,глюкоза,-,92.31,🟠 Частичное совпадение,11,0,0
Глюкоза плазмы_6,Глюкоза плазМы,глюкоза,-,100.00,✔️ Полное совпадение,13,0,0
Глюкоза плазмы_7,Глюкоза плАзмы,глюкоза,-,100.00,✔️ Полное совпадение,13,0,0
Мочевина_1,Моч евина,мочевина,1,94.12,🟠 Частичное совпадение,8,0,0
Мочевина_2,Моче вина,мочевина,1,94.12,🟠 Частичное совпадение,8,0,0
Мочевина_3,Мочев ин,мочевина,1,87.50,🟠 Частичное совпадение,7,0,0
Мочевина_4,Мочевинa,мочевина,1,100.00,✔️ Полное совпадение,7,1,0
Азот мочевины_0,Азот мчевины,мочевина,1,96.00,🟠 Частичное совпадение,11,0,0
Азот мочевины_1,Азот мочеины,мочевина,1,96.00,🟠 Частичное совпадение,11,0,0
Азот мочевины_2,Азо т мочевины,мочевина,1,96.30,🟠 Частичное совпадение,12,0,0
Азот мочевины_3,от мочевины,мочевина,1,91.67,🟠 Частичное совпадение,10,0,0
Азот мочевины_4,зот мочевины,мочевина,1,96.00,🟠 Частичное совпадение,11,0,0
Азот мочевины_5,Азот мочеви,мочевина,1,91.67,🟠 Частичное совпадение,10,0,0
Азот мочевины_6,Азо мочевины,мочевина,1,96.00,🟠 Частичное совпадение,11,0,0
Остаточный азот крови_0,Остаточн ыйазот крови,мочевина,1,95.24,🟠 Частичное совпадение,19,0,0
Остаточный азот крови_2,ОстаточнЫй азот крови,мочевина,1,100.00,✔️ Полное совпадение,19,0,0
Остаточный азот крови_3,Остаточный азот рОви,мочевина,1,97.56,🟠 Частичное совпадение,18,0,0
Остаточный азот крови_4,ОстаточнЫй азот рови,мочевина,1,97.56,🟠 Частичное совпадение,18,0,0
Остаточный азот крови_5,Остаточный азот кРови,мочевина,1,100.00,✔️ Полное совпадение,19,0,0
Остаточный азот крови_6,ОстатОчный азот крови,мочевина,1,100.00,✔️ Полное совпадение,19,0,0
Остаточный азот крови_7,Остаточный азот рови,мочевина,1,97.56,🟠 Частичное совпадение,18,0,0
Небелковый азот крови_0,ебелковый азот  крови,мочевина,1,97.56,🟠 Частичное совпадение,18,0,0
Небелковый азот крови_1,ебелковый азот крови,мочевина,1,97.56,🟠 Частичное совпадение,18,0,0
Небелковый азот крови_2,Небелковый  азот крови,мочевина,1,100.00,✔️ Полное совпадение,19,0,0
Небелковый азот крови_3,Небелковый азо т крови,мочевина,1,97.67,🟠 Частичное совпадение,19,0,0
Небелковый азот крови_4,Небелковый азот кpови,мочевина,1,100.00,✔️ Полное совпадение,18,1,0
Небелковый азот крови_5,Небелковый азот кровИ,мочевина,1,100.00,✔️ Полное совпадение,19,0,0
Небелковый азот крови_6,Неелковый азот крови,мочевина,1,97.56,🟠 Частичное совпадение,18,0,0
Urea_0,Ureа,мочевина,1,100.00,✔️ Полное совпадение,1,3,0
Urea_1,Urеa,мочевина,1,100.00,✔️ Полное совпадение,1,3,0
BUN (Blood Urea Nitrogen)_0,BUN (Blood Urea Nitr0gen),мочевина,1,100.00,✔️ Полное совпадение,0,19,1
BUN (Blood Urea Nitrogen)_1,N (Blood Urea Nitrogen),мочевина,1,95.45,🟠 Частичное совпадение,0,18,0
BUN (Blood Urea Nitrogen)_3,BUN (Blood Urea nitrogen),мочевина,1,100.00,✔️ Полное совпадение,0,20,0
BUN (Blood Urea Nitrogen)_4,UN (Blood Urea Nitrogen),мочевина,1,97.78,🟠 Частичное совпадение,0,19,0
BUN (Blood Urea Nitrogen)_5,BUN (Blood Urea Nitogen),мочевина,1,97.78,🟠 Частичное совпадение,0,19,0
BUN (Blood Urea Nitrogen)_6,BUN (BLood Urea Nitrogen),мочевина,1,100.00,✔️ Полное совпадение,0,20,0
BUN (Blood Urea Nitrogen)_7,BUN (Blood Ura Nitrogen),мочевина,1,97.78,🟠 Частичное совпадение,0,19,0
Креатинин_1,Кр еатинин,креатинин,2,94.74,🟠 Частичное совпадение,9,0,0
Креатинин_2,Креати нин,креатинин,2,94.74,🟠 Частичное совпадение,9,0,0
Creatinine_0,Creatininе,креатинин,2,100.00,✔️ Полное совпадение,1,9,0
Creatinine_2,Cre atinine,креатинин,2,95.24,🟠 Частичное совпадение,0,10,0
Creatinine_3,Cratini ne,креатинин,2,90.00,🟠 Частичное совпадение,0,9,0
Creatinine_4,Creatini ne,креатинин,2,95.24,🟠 Частичное совпадение,0,10,0
Креатинин сывороточный_0,Креатин ин сывороточный,креатинин,2,97.78,🟠 Частичное совпадение,21,0,0
Креатинин сывороточный_1,КреАтинин сывороточный,креатинин,2,100.00,✔️ Полное совпадение,21,0,0
Креатинин сывороточный_2,К реатинин сывороточный,креатинин,2,97.78,🟠 Частичное совпадение,21,0,0
Креатинин сывороточный_4,Креа тинин сывороточный,креатинин,2,97.78,🟠 Частичное совпадение,21,0,0
Креатинин сывороточный_5,Кре атинин сывороточный,креатинин,2,97.78,🟠 Частичное совпадение,21,0,0
Креатинин сывороточный_6,Креатинин сывороточ ный,креатинин,2,97.78,🟠 Частичное совпадение,21,0,0
Креатинин сывороточный_7,Креатинин сыворОточны,креатинин,2,97.67,🟠 Частичное совпадение,20,0,0
Общий холестерин_0,Общий хОлестерИн,общий холестерин,3,100.00,✔️ Полное совпадение,15,0,0
Общий холестерин_1,Общий холестери,общий холестерин,3,96.77,🟠 Частичное совпадение,14,0,0
Общий холестерин_2,Общий холестерн,общий холестерин,3,96.77,🟠 Частичное совпадение,14,0,0
Общий холестерин_3,Общий холестер,общий холестерин,3,93.33,🟠 Частичное совпадение,13,0,0
Общий холестерин_4,ОбщиЙ холестерин,общий холестерин,3,100.00,✔️ Полное совпадение,15,0,0
Общий холестерин_6,Общий Холетерин,общий холестерин,3,96.77,🟠 Частичное совпадение,14,0,0
Общий холестерин_7,Общий  холестерин,общий холестерин,3,100.00,✔️ Полное совпадение,15,0,0
Cholesterol_0,hole sterol,общий холестерин,3,90.91,🟠 Частичное совпадение,0,10,0
Cholesterol_1,CholЕsterol,общий холестерин,3,100.00,✔️ Полное совпадение,1,10,0
Cholesterol_2,Cholester o,общий холестерин,3,90.91,🟠 Частичное совпадение,0,10,0
Cholesterol_3,Cho lesterol,общий холестерин,3,95.65,🟠 Частичное совпадение,0,11,0
Cholesterol_4,Chol ester0l,общий холестерин,3,95.65,🟠 Частичное совпадение,0,10,1
Cholesterol_6,Choleste rol,общий холестерин,3,95.65,🟠 Частичное совпадение,0,11,0
Холестерин_1,Холесте рин,общий холестерин,3,95.24,🟠 Частичное совпадение,10,0,0
Холестерин_2,ХолeстериН,общий холестерин,3,100.00,✔️ Полное совпадение,9,1,0
Холестерин_3,о лестерин,общий холестерин,3,90.00,🟠 Частичное совпадение,9,0,0
Холестерол_0,Холестеpол,общий холестерин,3,100.00,✔️ Полное совпадение,9,1,0
Холестерол_1,Хол естерол,общий холестерин,3,95.24,🟠 Частичное совпадение,10,0,0
Холестерол_2,Холестер ол,общий холестерин,3,95.24,🟠 Частичное совпадение,10,0,0
