,Исходный текст,Распознанный текст,Предсказанная группа,Уверенность (%),Результат,Русских букв,Латинских букв,Цифр
0,Глюкоза_1,люкоза,глюкоза,92.31,🟠 Частичное совпадение,6,0,0
1,Глюкоза_2,Г люкоа,глюкоза,85.71,🟠 Частичное совпадение,6,0,0
2,Глюкоза_3,Глюоза,глюкоза,92.31,🟠 Частичное совпадение,6,0,0
3,Глюкоза_4,Глкоза,глюкоза,92.31,🟠 Частичное совпадение,6,0,0
4,Глюкоза_5,юк оза,глюкоза,76.92,🟠 Частичное совпадение,5,0,0
5,Глюкоза_6,Г люкоза,глюкоза,93.33,🟠 Частичное совпадение,7,0,0
6,Глюкоза_7,юкозa,глюкоза,83.33,🟠 Частичное совпадение,4,1,0
7,Глюкоза сывороточная_0,Глюкоза свороточная,глюкоза,97.44,🟠 Частичное совпадение,18,0,0
8,Глюкоза сывороточная_2,Глюкоза сывоРоточная,глюкоза,100.00,✔️ Полное совпадение,19,0,0
9,Глюкоза сывороточная_3,Глюкоза сывоpоточная,глюкоза,100.00,✔️ Полное совпадение,18,1,0
10,Глюкоза сывороточная_4,Глюкза сывороточная,глюкоза,97.44,🟠 Частичное совпадение,18,0,0
11,Глюкоза сывороточная_5,Глюкоза сыворото чная,глюкоза,97.56,🟠 Частичное совпадение,19,0,0
12,Глюкоза сывороточная_6,люкоза сывороточная,глюкоза,97.44,🟠 Частичное совпадение,18,0,0
13,Глюкоза сывороточная_7,Глюкоза cывороточная,глюкоза,100.00,✔️ Полное совпадение,18,1,0
14,Сахар_0,Саха,глюкоза,88.89,🟠 Частичное совпадение,4,0,0
15,Сахар_2,Са хар,глюкоза,90.91,🟠 Частичное совпадение,5,0,0
16,Сахар_3,САхар,глюкоза,100.00,✔️ Полное совпадение,5,0,0
17,Сахар_4,Сaхар,глюкоза,100.00,✔️ Полное совпадение,4,1,0
18,Сахар_5,Сахаp,глюкоза,100.00,✔️ Полное совпадение,4,1,0
19,Сахар_6,ахар,глюкоза,88.89,🟠 Частичное совпадение,4,0,0
20,Сахар_7,С ахар,глюкоза,90.91,🟠 Частичное совпадение,5,0,0
21,Сахар в крови_0,СахАр в крови,глюкоза,100.00,✔️ Полное совпадение,11,0,0
22,Сахар в крови_2,Сахар в кро,глюкоза,91.67,🟠 Частичное совпадение,9,0,0
23,Сахар в крови_3,Схарв крови,глюкоза,91.67,🟠 Частичное совпадение,10,0,0
24,Сахар в крови_4,в крови Сахар,глюкоза,100.00,✔️ Полное совпадение,11,0,0
25,Сахар в крови_5,Са хар в крови,глюкоза,96.30,🟠 Частичное совпадение,11,0,0
26,Сахар в крови_6,Сaхар в крови,глюкоза,100.00,✔️ Полное совпадение,10,1,0
27,Сахар в крови_7,СаХар  в крови,глюкоза,96.30,🟠 Частичное совпадение,11,0,0
28,Декстроза_1,ДекстРоза,глюкоза,100.00,✔️ Полное совпадение,9,0,0
29,Декстроза_2,Декстро,глюкоза,87.50,🟠 Частичное совпадение,7,0,0
30,Декстроза_3,декстроа,глюкоза,94.12,🟠 Частичное совпадение,8,0,0
31,Декстроза_4,кстроза,глюкоза,87.50,🟠 Частичное совпадение,7,0,0
32,Декстроза_5,Дек строза,глюкоза,94.74,🟠 Частичное совпадение,9,0,0
33,Декстроза_6,Дектроза,глюкоза,94.12,🟠 Частичное совпадение,8,0,0
34,Декстроза_7,ДекстроЗа,глюкоза,100.00,✔️ Полное совпадение,9,0,0
35,Глюкоза плазмы_0,Глюкозапла змы,глюкоза,92.86,🟠 Частичное совпадение,13,0,0
36,Глюкоза плазмы_1,Глю коза плазмы,глюкоза,96.55,🟠 Частичное совпадение,13,0,0
37,Глюкоза плазмы_3,Глюкоза  плазмы,глюкоза,96.55,🟠 Частичное совпадение,13,0,0
38,Глюкоза плазмы_4,Глюкоаплазмы,глюкоза,92.31,🟠 Частичное совпадение,12,0,0
39,Глюкоза плазмы_5,Глюкоза плазм,глюкоза,96.30,🟠 Частичное совпадение,12,0,0
40,Глюкоза плазмы_6,Глюкоза пла змы,глюкоза,96.55,🟠 Частичное совпадение,13,0,0
41,Глюкоза плазмы_7,плазмы Глюкоза,глюкоза,100.00,✔️ Полное совпадение,13,0,0
42,Мочевина_0,МОчевина,мочевина,100.00,✔️ Полное совпадение,8,0,0
43,Мочевина_1,Мчевина,мочевина,93.33,🟠 Частичное совпадение,7,0,0
44,Мочевина_2,Мочевна,мочевина,93.33,🟠 Частичное совпадение,7,0,0
45,Мочевина_3,Мо4вина,мочевина,93.33,🟠 Частичное совпадение,6,0,1
46,Мочевина_5,МочеВина,мочевина,100.00,✔️ Полное совпадение,8,0,0
47,Мочевина_6,М очевина,мочевина,94.12,🟠 Частичное совпадение,8,0,0
48,Мочевина_7,МочевинА,мочевина,100.00,✔️ Полное совпадение,8,0,0
49,Азот мочевины_0,зот мочевины,мочевина,96.00,🟠 Частичное совпадение,11,0,0
50,Азот мочевины_1,Азот мочевин,мочевина,96.00,🟠 Частичное совпадение,11,0,0
51,Азот мочевины_2,Азот мчевины,мочевина,96.00,🟠 Частичное совпадение,11,0,0
52,Азот мочевины_3,Азот мочевны,мочевина,96.00,🟠 Частичное совпадение,11,0,0
53,Азот мочевины_4,Азот моевины,мочевина,96.00,🟠 Частичное совпадение,11,0,0
54,Азот мочевины_5,Азот мочеви ны,мочевина,96.30,🟠 Частичное совпадение,12,0,0
55,Азот мочевины_6,мочевины Азот,мочевина,76.19,🟠 Частичное совпадение,12,0,0
56,Остаточный азот крови_0,Остаточный азот кроВи,мочевина,100.00,✔️ Полное совпадение,19,0,0
57,Остаточный азот крови_1,ОсТаточный азот крови,мочевина,100.00,✔️ Полное совпадение,19,0,0
58,Остаточный азот крови_3,таточный азот крови,мочевина,95.00,🟠 Частичное совпадение,17,0,0
59,Остаточный азот крови_4,Остаточный зот крови,мочевина,97.56,🟠 Частичное совпадение,18,0,0
60,Остаточный азот крови_5,ОстаточныЙ азот крови,мочевина,100.00,✔️ Полное совпадение,19,0,0
61,Остаточный азот крови_6,статочный азот крови,мочевина,97.56,🟠 Частичное совпадение,18,0,0
62,Остаточный азот крови_7,Остаточный азоТ крови,мочевина,100.00,✔️ Полное совпадение,19,0,0
63,Небелковый азот крови_0,Небелковы й азот крови,мочевина,97.67,🟠 Частичное совпадение,19,0,0
64,Небелковый азот крови_2,Небе лковый азот крови,мочевина,97.67,🟠 Частичное совпадение,19,0,0
65,Небелковый азот крови_3,Небелковый Азот крови,мочевина,100.00,✔️ Полное совпадение,19,0,0
66,Небелковый азот крови_4,Небeлковый азот кро,мочевина,95.00,🟠 Частичное совпадение,16,1,0
67,Небелковый азот крови_5,Небелковый азоткрови,мочевина,97.56,🟠 Частичное совпадение,19,0,0
68,Небелковый азот крови_6,белковый азот крови,мочевина,95.00,🟠 Частичное совпадение,17,0,0
69,Небелковый азот крови_7,Небелкoвый азот крови,мочевина,100.00,✔️ Полное совпадение,18,1,0
70,Urea_0,U rea,мочевина,88.89,🟠 Частичное совпадение,0,4,0
71,Urea_2,Uea,мочевина,85.71,🟠 Частичное совпадение,0,3,0
72,Urea_3,Ur ea,мочевина,88.89,🟠 Частичное совпадение,0,4,0
73,Urea_4,Ure,мочевина,85.71,🟠 Частичное совпадение,0,3,0
74,Urea_5,UrEa,мочевина,100.00,✔️ Полное совпадение,0,4,0
75,Urea_6,rea,мочевина,85.71,🟠 Частичное совпадение,0,3,0
76,BUN (Blood Urea Nitrogen)_0,bUN (B lood Urea Nitrogen),мочевина,98.04,🟠 Частичное совпадение,0,20,0
77,BUN (Blood Urea Nitrogen)_1,UN (Blood Urea Nitrogen),мочевина,97.96,🟠 Частичное совпадение,0,19,0
78,BUN (Blood Urea Nitrogen)_3,BUN (Blo od Urea Nitrogen,мочевина,96.00,🟠 Частичное совпадение,0,20,0
79,BUN (Blood Urea Nitrogen)_4,BUN (Blood Urea NiTrogen),мочевина,100.00,✔️ Полное совпадение,0,20,0
80,BUN (Blood Urea Nitrogen)_5,BUN (Blood U rea Nitrogen),мочевина,98.04,🟠 Частичное совпадение,0,20,0
81,BUN (Blood Urea Nitrogen)_6,N (Blood Urea Nitrogen),мочевина,95.83,🟠 Частичное совпадение,0,18,0
82,BUN (Blood Urea Nitrogen)_7, (Blood Urea Nitrogen),мочевина,91.30,🟠 Частичное совпадение,0,17,0
83,Креатинин_0,КРеатинин,креатинин,100.00,✔️ Полное совпадение,9,0,0
84,Креатинин_1,Креатини,креатинин,94.12,🟠 Частичное совпадение,8,0,0
85,Креатинин_2,еатинин,креатинин,87.50,🟠 Частичное совпадение,7,0,0
86,Креатинин_3,Креатинн,креатинин,94.12,🟠 Частичное совпадение,8,0,0
87,Креатинин_5,Креати нин,креатинин,94.74,🟠 Частичное совпадение,9,0,0
88,Креатинин_6,КреАтинин,креатинин,100.00,✔️ Полное совпадение,9,0,0
89,Креатинин_7,КреатИн ин,креатинин,94.74,🟠 Частичное совпадение,9,0,0
90,Creatinine_0,reatinine,креатинин,94.74,🟠 Частичное совпадение,0,9,0
91,Creatinine_1,eatinine,креатинин,88.89,🟠 Частичное совпадение,0,8,0
92,Creatinine_2,Crea tinine,креатинин,95.24,🟠 Частичное совпадение,0,10,0
93,Creatinine_3,Creatinin,креатинин,94.74,🟠 Частичное совпадение,0,9,0
94,Creatinine_4,CreatiniNe,креатинин,100.00,✔️ Полное совпадение,0,10,0
95,Creatinine_5, eatinine,креатинин,88.89,🟠 Частичное совпадение,0,8,0
96,Creatinine_6,CreatiNine,креатинин,100.00,✔️ Полное совпадение,0,10,0
97,Креатинин сывороточный_1,Креатинин сывороточныЙ,креатинин,100.00,✔️ Полное совпадение,21,0,0
